Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R51,5.1k,R_0603_1608Metric,142.5,48,180,top
R52,10k,R_0603_1608Metric,142.6,45,0,top
R53,1k,R_0603_1608Metric,150.5,102.1,90,top
R54,100R,R_0603_1608Metric,142.8,102.3,90,top
R55,1k,R_0603_1608Metric,150.1875,62.4,180,top
R56,1k,R_0603_1608Metric,150.4,88.05,90,top
R57,100R,R_0603_1608Metric,142.7,88.014287,270,top
R58,100R,R_0603_1608Metric,142.8,63.1,90,top
R59,1k,R_0603_1608Metric,150.5,98.25,90,top
R60,1k,R_0603_1608Metric,150.5,69.6,270,top
R61,100R,R_0603_1608Metric,142.8,98.371429,90,top
R62,100R,R_0603_1608Metric,142.8,69.328574,90,top
R63,1k,R_0603_1608Metric,150.4,81.9,90,top
R64,100R,R_0603_1608Metric,142.7,81.785716,270,top
R65,1k,R_0603_1608Metric,150.5,94.2,90,top
R66,100R,R_0603_1608Metric,142.8,94.242858,90,top
R67,1k,R_0603_1608Metric,150.4,75.75,90,top
R68,100R,R_0603_1608Metric,142.7,75.557145,270,top
R69,1k,R_0603_1608Metric,112.4,111,90,top
R70,100R,R_0603_1608Metric,120.8,111.1,180,top
R71,1k,R_0603_1608Metric,112.3,91.4,270,top
R72,100R,R_0603_1608Metric,120.8,91.1,180,top
R73,1k,R_0603_1608Metric,112.4,104.8,90,top
R74,100R,R_0603_1608Metric,120.8,103.7,180,top
R75,1k,R_0603_1608Metric,112.3,85.4,270,top
R76,100R,R_0603_1608Metric,120.8,85.5,180,top
R77,1k,R_0603_1608Metric,112.3,97.2,90,top
R78,100R,R_0603_1608Metric,120.8,97.4,180,top
R79,1k,R_0603_1608Metric,112.3,79.5,270,top
R80,100R,R_0603_1608Metric,120.8,79.3,180,top
R81,10k,R_0603_1608Metric,66.4,28.8,270,top
R82,1k,R_0603_1608Metric,79.6,41.9,90,top
R83,120R,R_0603_1608Metric,59.9,59.3,90,top
R84,1k,R_0603_1608Metric,66.9,25.9,180,top
R85,1k,R_0603_1608Metric,66.9125,23,180,top
R86,560R,R_0603_1608Metric,116.3,71.4,90,top
R87,100k,R_0603_1608Metric,129.4,15.5,270,top
R88,100k,R_0603_1608Metric,129.4,12.1,270,top
R89,100k,R_0603_1608Metric,129.4,8.7,270,top
R90,5.1k,R_0603_1608Metric,136.6,48.3,270,top
R91,10k,R_0603_1608Metric,138.4,48.3,90,top
R92,1k,R_0603_1608Metric,89.5,19.8,0,top
R93,0R,R_0603_1608Metric,101.9,8.7,0,top
R94,680R,R_0603_1608Metric,105.4,6,270,top
R95,330R,R_0603_1608Metric,105.4,9.7,270,top
R96,1k,R_0603_1608Metric,100.9125,17.4,0,top
R97,10k,R_0603_1608Metric,109.2,9.6,0,top
R98,0R,R_0603_1608Metric,15.5,72.2,180,top
R99,8.2k,R_0603_1608Metric,36.7,146.5875,270,top
R100,43k,R_0603_1608Metric,39.7875,147.6,180,top
R101,100k,R_0603_1608Metric,37.1,140.5875,270,top
R102,180R,R_0603_1608Metric,68.3,118.4,270,top
R103,0.22R,R_0805_2012Metric,65.9,120.2,270,top
R104,47k,R_0603_1608Metric,74.2,125.3,180,top
R105,2.4k,R_0603_1608Metric,74.13,127.65,0,top
R106,0R,R_0603_1608Metric,128.8,41.2,90,top
R107,0R,R_0603_1608Metric,128.7,44.9,90,top
R108,2.7k,R_0603_1608Metric,104,21.3875,270,top
R109,1.5k,R_0603_1608Metric,108.2,21.3,270,top
R110,22k,R_0603_1608Metric,112.3125,22,0,top
R111,4.7k,R_0603_1608Metric,45.1,9.3,0,top
R112,1.5k,R_0603_1608Metric,48.7,8.4,90,top
R113,6.2k,R_0603_1608Metric,121.7875,123.1,180,top
R114,6.2k,R_0603_1608Metric,121.7,129.4,180,top
R115,6.2k,R_0603_1608Metric,103.7,120.5,270,top
R116,6.2k,R_0603_1608Metric,98.2,120.6,270,top
R117,3.6k,R_0603_1608Metric,119.1,123.9,270,top
R118,3.6k,R_0603_1608Metric,119.1,130.1,270,top
R119,3.6k,R_0603_1608Metric,102.9,117.8,0,top
R120,3.6k,R_0603_1608Metric,97.4,117.9,0,top
R121,0R,R_0603_1608Metric,38.0125,44.1,0,top
R122,NF,R_0603_1608Metric,21.3,29.7,0,top
R123,NF,R_0603_1608Metric,33.2,35.7,0,top
R124,NF,R_0603_1608Metric,38.0125,46.1,0,top
R125,0R,R_0603_1608Metric,73.9,147.6875,90,top
R126,0R,R_0603_1608Metric,67.4875,151,180,top
R127,56k,R_0603_1608Metric,102,151.5,270,top
R128,56k,R_0603_1608Metric,102,148,270,top
R129,0R,R_0603_1608Metric,106.5,146.2,90,top
R130,470R,R_0603_1608Metric,99.8875,33.1,0,top
SW1,SW_Push,Panasonic_EVQPUK_EVQPUB,4.6,77.4,90,top
U1,MCP6561x-LT,SOT-353_SC-70-5,134,57.9,180,top
U2,74LVC1G3157GW,SOT-363_SC-70-6,146.7,49.5,180,top
U3,STM32F103RBT6,LQFP-64_10x10mm_P0.5mm,53.6565,86.454,90,top
U4,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,25,54.8,90,top
U5,74LVC1G3157GW,SOT-363_SC-70-6,133.3,45.1,0,top
U6,MCP2515-I/SO,SOIC-18W_7.5x11.6mm_P1.27mm,68.1,47.7,270,top
U7,LTC6992CS6-1,TSOT-23-6,117.8,58,0,top
U8,TJA1050T,SOIC-8_3.9x4.9mm_P1.27mm,66.3,59.4,90,top
U9,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,76.4,26.9,0,top
U10,SGM3204,SOT-23-6,62.6,148.55,0,top
U11,MP2359,TSOT-23-6,40.3,142.81,90,top
U12,XC6206P332MR,SOT-23,57.5,139.1,0,top
U13,MC34063ABD-TR,SOIC-8_3.9x4.9mm_P1.27mm,74.075,120.065,90,top
U14,TX4314,SOT-23-6,79.7,147.8,180,top
U15,MAX889RESA+,SOIC-8_3.9x4.9mm_P1.27mm,96,149.4,0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,68.3,39.3,90,top
Y2,8M0,Crystal_SMD_5032-2Pin_5.0x3.2mm,68.6,84.7,0,top
Y3,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,78.95,17.4,90,top
